OBS,facility,has_paper_olda_1,who,selection_1,Teff,logg,micro,ra,dec,source_id,GroupSize_2,O,Ostd,Na,Nastd,Mg,Mgstd,Al,Alstd,Si,Sistd,Ca,Castd,target_id,ScII,ScIIstd,TiI,TiIstd,TiII,TiIIstd,V,Vstd,Cr,Crstd,Mn,Mnstd,Fe,Festd,FeII,FeIIstd,Co,Costd,Ni,Nistd,Cu,Custd,Zn,Znstd,Sr,Srstd,Y,Ystd,Zr,Zrstd,Ba,Bastd,La,Lastd,Ce,Cestd,Pr,Prstd,Nd,Ndstd,Sm,Smstd,Eu,Eustd,main_id_2,Strut,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_params_solved,pseudocolour,pseudocolour_error,ruwe,phot_g_mean_mag,phot_g_mean_mag_error
NOT_Lapo,NOT_Lapo1,,Trieste group,mince2,4681,2.29,1.34,136.74146014005672,51.491923351860684,1016553582836045184,,0.2150000035762787,0.16590000689029694,-8.70600003,0.2519,0.16699999570846558,0.0859,0.19900000095367432,0.0,-0.07800000160932541,0.1425,0.027000004,0.1278,TYC 3430-571-1,0.036000006,0.1639,0.11299999803304672,0.1008,0.0989999994635582,0.1829,-0.016999995,0.0983,-0.035000004,0.16,0.0689999982714653,0.0612,-0.209,0.1696,-0.195,0.1305,-0.055999987,0.1401,0.015000007,0.1771,0.25999999046325684,0.0,-0.22100000083446503,0.0,-0.014999999664723873,0,-0.0029999989,0.12,-0.21,0.01,0.29600000381469727,0.0,-0.15299999713897705,0.14,0.13199999928474426,0.15,-0.16899999976158142,0.14,-0.14000002,0.15,-0.26000002,0.13,-0.11200001,0.0,TYC 3430-571-1,D,136.74137213011,0.0239,51.49186437175,0.0204,1.6664,0.0346,48.1286,18.114,-12.329,0.029,-13.271,0.025,31,,,2.222,9.50846,0.002758
NOT_Lapo,NOT_Lapo2,,Trieste group,mince2,4105,1.4,1.8,237.22162337594068,12.426145631810817,1190010265194733568,,0.3400000035762787,0.0,0.42,0.16,0.5699999928474426,0.07,0.4699999988079071,0.1,0.41999998688697815,0.16,0.13,0.12,TYC_938-1251-1,0.13,0.15,0.30000001192092896,0.11,0.18000000715255737,0.14,0.05,0.13,0.1,0.18,-0.23999999463558197,0.09,-0.7,0.16,-0.64,0.17,0.06,0.13,-0.07,0.15,-0.09000000357627869,0.0,-0.28999999165534973,0.0,-0.5699999928474426,0,-0.05,0.13,-0.22,0.08,-0.2800000011920929,0.0,0.12999999523162842,0.07,-0.18000000715255737,0.05,0.09000000357627869,0.03,0.19,0.17,0.14,0.09,0.39,0.0,TYC 938-1251-1,T,237.2215774064,0.0116,12.42609772141,0.0127,1.0887,0.0162,67.0661,14.773,-10.101,0.014,-10.78,0.014,31,,,1.007,9.099881,0.00276
TNGs,TNG 42_done,,Trieste group,mince2,4041,0.79,1.71,131.65067429937625,9.87285499791908,598110071830686976,,0.5600000023841858,0.009999999776482582,0.22,0.02,0.2709999978542328,0.12,0.4300000071525574,0.0,0.3799999952316284,0.07,0.26,0.08,TYC_810-1846-1,0.24,0.1,0.4300000071525574,0.12,0.3199999928474426,0.1,0.14,0.09,0.05,0.05,-0.28999999165534973,0.1,-1.31,0.18,-1.21,0.15,0.14,0.1,0.02,0.14,-0.1899999976158142,0.05,-0.07999999821186066,0.03,-0.6899999976158142,0,-0.25,0.13,-0.25,0.35,-0.009999999776482582,0.0,0.07999999821186066,0.09,-0.07000000029802322,0.11,0.09000000357627869,0.05,0.09,0.09,0.36,0.11,0.54,0.0,TYC  810-1846-1,H,131.65067954229,0.0142,9.87273094685,0.0084,0.5065,0.0165,30.6645,27.936,1.162,0.017,-27.911,0.013,31,,,0.977,9.251142,0.002782
NOT_Lapo,NOT_Lapo1,,Trieste group,mince2,4766,2.51,1.38,123.09504341503022,38.210790662944255,908749525749088000,,0.3100000023841858,0.2199999988079071,0.37,0.06,0.3499999940395355,0.04,0.33000001311302185,0.08,0.17000000178813934,0.09,0.19,0.1,BD+38_1878,0.21,0.12,0.17000000178813934,0.13,0.18000000715255737,0.09,0.07,0.11,0.06,0.16,-0.07999999821186066,0.1,-0.4,0.12,-0.46,0.08,0.02,0.13,-0.01,0.15,-0.14000000059604645,0.09,-0.27000001072883606,0.0,-0.28999999165534973,0,-0.08,0.12,-0.27,0.0,0.14000000059604645,0.05,0.11999999731779099,0.11,0.11999999731779099,0.08,0.07000000029802322,0.04,0.14,0.01,0.09,0.05,0.2,0.0,BD+38  1878,D,123.09507752908,0.013,38.21068597095,0.011,2.4726,0.0153,161.8328,24.316,6.031,0.016,-23.556,0.013,31,,,1.0,9.124838,0.002759
NOT_Lapo,NOT_Lapo2,,Trieste group,mince2,4125,1.54,1.54,321.1350739449864,10.056186843311913,1745183033571590784,,0.49000000953674316,0.0,0.55,0.13,0.6499999761581421,0.02,0.5,0.14,0.4099999964237213,0.15,0.21,0.08,StKM_1-1889,0.23,0.16,0.4300000071525574,0.11,0.28999999165534973,0.15,0.14,0.13,-0.07,0.12,-0.20000000298023224,0.07,-0.61,0.16,-0.56,0.14,0.16,0.16,0.03,0.17,0.07999999821186066,0.0,-0.20000000298023224,0.0,-0.5099999904632568,0,-0.13,0.11,-0.28,0.2,-0.20999999344348907,0.05,0.10000000149011612,0.08,-0.1599999964237213,0.08,0.10000000149011612,0.05,0.12,0.15,0.16,0.09,0.52,0.18,StKM 1-1889,T,321.13508737963,0.0142,10.05608266571,0.0139,1.0831,0.0166,65.407,23.628,2.976,0.017,-23.44,0.014,31,,,0.984,9.442657,0.002767
NOT_Lapo,NOT_Lapo2,,Trieste group,mince2,4425,2.02,1.31,326.41488355036546,3.4128634869598433,2694964507906689024,,0.15000000596046448,0.0,0.37,0.09,0.3499999940395355,0.07,0.23999999463558197,0.08,0.3199999928474426,0.12,0.16,0.11,TYC_548-803-1,0.18,0.15,0.07999999821186066,0.1,0.17000000178813934,0.13,-0.08,0.12,-0.04,0.12,-0.11999999731779099,0.1,-0.36,0.14,-0.35,0.15,-0.01,0.13,0.02,0.16,-0.12999999523162842,0.0,-9.989999771118164,0.0,-0.3059999942779541,0,-0.11,0.13,-0.27,0.08,0.14000000059604645,0.0,0.009999999776482582,0.06,0.03999999910593033,0.14,-0.03999999910593033,0.06,-0.01,0.12,0.02,0.13,0.32,0.0,TYC 548-803-1,D,326.4148187822,0.0156,3.41282824148,0.0144,1.5541,0.0176,88.0586,16.568,-14.547,0.021,-7.93,0.019,31,,,0.998,9.435031,0.002759
NOT_Lapo,NOT_Lapo1,,Trieste group,mince2,4482,1.68,1.56,130.50789514702268,42.28825229680588,913552398697293312,,0.019999999552965164,0.05999999865889549,0.59,0.02,0.36000001430511475,0.08,0.3499999940395355,0.13,0.10999999940395355,0.13,0.18,0.06,BD+42_1911,0.19,0.11,0.11999999731779099,0.1,0.12999999523162842,0.15,0.06,0.15,0.03,0.14,-0.05000000074505806,0.08,-0.23,0.14,-0.34,0.15,0.03,0.13,-0.05,0.17,-0.019999999552965164,0.0,-0.4399999976158142,0.0,-0.38999998569488525,0,0.03,0.12,-99.99,0.0,0.029999999329447746,0.0,0.07999999821186066,0.13,0.009999999776482582,0.1,-0.009999999776482582,0.09,0.09,0.13,0.12,0.15,0.23,0.09,BD+42  1911,D,130.50786128667,0.0134,42.28820413644,0.0113,1.1739,0.0161,72.8697,12.214,-5.636,0.017,-10.836,0.016,31,,,0.96,8.991488,0.002759
NOT_Lapo,NOT_Lapo1,,Trieste group,,4167,1.36,1.53,142.45768954838195,55.06594552851724,1024649905425949568,,0.12999999523162842,0.07000000029802322,0.36,0.18,0.3499999940395355,0.12,0.4399999976158142,0.07,0.18000000715255737,0.15,0.06,0.12,BD+55_1336,0.16,0.07,0.1599999964237213,0.09,0.07999999821186066,0.12,0.09,0.11,0.01,0.15,-0.14000000059604645,0.19,-0.52,0.14,-0.55,0.16,-0.01,0.12,-0.01,0.18,0.07000000029802322,0.0,-0.3400000035762787,0.0,-0.7200000286102295,0,-0.05,0.11,-99.99,0.0,0.07000000029802322,0.0,0.03999999910593033,0.1,0.05999999865889549,0.14,0.03999999910593033,0.05,0.1,0.14,0.17,0.11,0.33,0.03,BD+55  1336,D,142.45765597568,0.0097,55.06592059178,0.01,0.9473,0.0131,72.4536,7.085,-4.326,0.012,-5.611,0.012,31,,,0.953,9.130336,0.002762
Spito_NOT,NOT_61_Spito,,Trieste group,mince2,4970,1.92,1.68,304.3022282285,0.3562918127,4230417785833525376,0,0.25699999928474426,0.17260000109672546,0.5220000147819519,0.2162,0.29600000381469727,0.2325,0.31700000166893005,0.0653,0.09700000286102295,0.1177,0.23800000548362732,0.1147,BD-00_3963,0.20100000500679016,0.0747,0.3400000035762787,0.1422,0.23899999260902405,0.1774,0.21400000154972076,0.1739,0.17399999499320984,0.1746,-0.03099999949336052,0.2385,-0.219,0.1695,-0.504,0.1407,0.13699999451637268,0.152,-0.004999999888241291,0.166,-0.024000000208616257,0.0,-0.48399999737739563,0.0,-0.18299999833106995,0,0.12700000405311584,0.154,-99.98999786376953,0.0,0.4350000023841858,0.0,0.28200000524520874,0.1078,0.2619999945163727,0.1578,0.22300000488758087,0.1462,0.30399999022483826,0.1373,0.3019999861717224,0.1211,0.36800000071525574,0.0,BD-00  3963,H,304.30223717707,0.0132,0.35629557066,0.012,1.6855,0.0174,96.95120239257812,2.053,1.947,0.017,0.65,0.016,31,,,0.949,8.548634,0.002761
NOT_Lapo,NOT_Lapo2,,Trieste group,mince2,4481,1.66,1.83,243.59292010109925,6.280847766953184,4450131137124088960,,0.3499999940395355,0.029999999329447746,0.3,0.07,0.44999998807907104,0.06,0.4099999964237213,0.05,0.30000001192092896,0.11,0.15,0.1,HD_146113,0.25,0.08,0.23999999463558197,0.11,0.23999999463558197,0.09,0.1,0.1,0.02,0.15,-0.20000000298023224,0.13,-0.79,0.14,-0.88,0.12,0.16,0.12,-0.0,0.15,-0.05999999865889549,0.07,-0.23999999463558197,0.0,-0.75,0,-0.15,0.12,-0.13,0.0,-0.10999999940395355,0.0,0.11999999731779099,0.07,0.12999999523162842,0.15,0.1599999964237213,0.03,0.19,0.08,0.24,0.06,0.47,0.01,HD 146113,D,243.59285880838,0.0165,6.28083829418,0.0125,1.6864,0.0268,62.958,13.873,-13.708,0.02,-2.131,0.017,31,,,1.008,8.261393,0.002762
0,OHP_08/20,MINCE I\II,PAPER I,mince2,4626,0.9,2.17,301.12104118394,13.59196653247,1806381262367935744,0,-96.58000183105469,0.0,0.14999985694885254,0.0,0.5499999523162842,0.08,-96.63999938964844,0.0,0.5899999141693115,0.14,0.4199998378753662,0.08,HD_354750,0.25999999046325684,0.14,0.39999985694885254,0.08,0.440000057220459,0.13,10.899999618530273,0.13,-0.05000019073486328,0.0,-0.35000014305114746,0.11,-2.352,0.11,-2.417,0.142,0.06999993324279785,0.1,0.019999980926513672,0.1,-0.6400001049041748,0.0,0.09999990463256836,0.09,0.09200000017881393,0,-0.1940000057220459,0.0,,,-0.1679999977350235,0.0,0.1550000011920929,0.0,-0.15299999713897705,0.0,9.989999771118164,0.0,0.2150000035762787,0.0,0.35899999737739563,0.0,0.5320000052452087,0.0,HD 354750,H,301.12104159354,0.0079,13.59196723263,0.0063,0.2161,0.0112,19.2896,6.103,2.837,0.012,5.403,0.009,31,,,0.904,10.588633,0.002761
TNGs,TNG2020_change,MINCE I\II,PAPER I,mince2,4276,0.7,2.08,320.53478760662,25.75435309796,1846612603278169600,0,0.6800000667572021,0.05999999865889549,-0.2200000286102295,0.05,0.5,0.0,-96.72000122070312,0.0,0.3399999141693115,0.08,0.309999942779541,0.06,BD+25_4520,0.19000005722045898,0.13,0.24000000953674316,0.08,0.18000006675720215,0.09,9.779999732971191,0.06,-0.1100001335144043,0.0,-0.31999993324279785,0.07,-2.277,0.096,-2.128,0.172,0.06999993324279785,0.14,-0.039999961853027344,0.12,-0.4200000762939453,0.23,-0.08999991416931152,0.02,-0.25,0,-0.414000004529953,0.0,,,-0.3179999887943268,0.0,-0.16300000250339508,0.0,-0.41999998688697815,0.0,9.989999771118164,0.0,-0.13300000131130219,0.0,0.06700000166893005,0.0,9.989999771118164,0.0,BD+25  4520,H,320.53479094645,0.014,25.75435196767,0.0115,0.3991,0.0181,22.0944,22.979,21.567,0.015,-7.931,0.013,31,,,1.047,9.258242,0.002801
0,CFHT 2019,MINCE I\II,PAPER I,mince2,4820,2.26,1.56,259.15409206163,44.17868123189,1361269101122102528,0,0.6399999856948853,0.0,-0.04999995231628418,0.07,0.49000000953674316,0.16,0.31999993324279785,0.06,0.49000000953674316,0.05,0.4299999475479126,0.06,TYC3085_119_1,0.38999998569488525,0.1,0.3700000047683716,0.08,0.4099999666213989,0.07,10.63700008392334,0.07,0.0,0.0,-0.26999998092651367,0.04,-1.509,0.102,-1.424,0.172,0.09000003337860107,0.12,0.029999971389770508,0.11,-0.3200000524520874,0.08,0.16999995708465576,0.08,0.18700000643730164,0,0.2639999985694885,0.0,0.73,0.07,0.4519999921321869,0.0,0.5289999842643738,0.0,0.34200000762939453,0.0,0.41600000858306885,0.0,0.4189999997615814,0.0,0.5289999842643738,0.0,0.6389999985694885,0.0,TYC 3085-119-1,T,259.15409232652,0.0116,44.1786794922,0.0121,1.0082,0.0123,82.0188,12.405,1.187,0.014,-12.348,0.015,31,,,1.16,10.385305,0.002767
0,OHP_08/20,MINCE I\II,PAPER I,mince2,4503,1.06,2.05,337.19312118498,22.15310053176,1874828957863588992,0,-96.66000366210938,0.0,-96.48999786376953,0.0,0.5900000333786011,0.1,-96.48999786376953,0.0,0.5199999809265137,0.0,0.3599998950958252,0.09,BD+21_4579,0.2999999523162842,0.1,0.31999993324279785,0.14,0.3899998664855957,0.15,9.789999961853027,0.13,-0.20000004768371582,0.0,-0.43000006675720215,0.1,-2.504,0.137,-2.343,0.122,0.09999990463256836,0.03,-0.009999990463256836,0.13,-96.48999786376953,0.0,0.16000008583068848,0.06,0.09399999678134918,0,0.22699999809265137,0.0,0.68,0.04,0.5339999794960022,0.0,0.7160000205039978,0.0,0.4569999873638153,0.0,0.9610000252723694,0.0,0.7900000214576721,0.0,0.9860000014305115,0.0,1.284000039100647,0.0,BD+21  4759,H,337.19312039613,0.0085,22.15309858895,0.0109,0.4526,0.0133,34.0103,14.613,-5.305,0.014,-13.616,0.013,31,,,1.018,9.444531,0.002818
0,OHP_08/20,MINCE I\II,PAPER I,mince2,4053,0.74,1.9,3.20805814676,5.62756346976,2742198462284327936,0,0.6899999976158142,0.0,-0.31999993324279785,0.03,0.5800000429153442,0.0,0.039999961853027344,0.03,0.38999998569488525,0.09,0.20000004768371582,0.06,BD+04____18,0.24000000953674316,0.1,0.2200000286102295,0.1,0.23000001907348633,0.08,9.6899995803833,0.11,-0.1799999475479126,0.0,-0.36000001430511475,0.11,-1.48,0.123,-1.284,0.308,0.039999961853027344,0.13,-0.09000003337860107,0.16,-0.44999992847442627,0.1,-97.5199966430664,0.0,0.2029999941587448,0,0.15800000727176666,0.0,0.68,0.04,0.7099999785423279,0.0,0.6420000195503235,0.0,0.31299999356269836,0.0,0.9200000166893005,0.0,0.6800000071525574,0.0,0.8629999756813049,0.0,1.159999966621399,0.0,BD+04    18,G,3.20806220146,0.0181,5.62756231817,0.0163,0.4697,0.0209,22.4843,30.367,29.324,0.029,-7.89,0.018,31,,,1.103,9.197191,0.002869
Spito_NOT,NOT_61_Spito,MINCE I\II,PAPER I,mince2,4237,0.76,2.01,339.3060240236,36.1393221811,1904354796441169664,0,0.7900000810623169,0.09000000357627869,0.08999991416931152,0.04,0.6499999761581421,0.0,0.4599999189376831,0.04,0.6200000047683716,0.07,0.4099999666213989,0.04,BD+354847,0.43000006675720215,0.11,0.4799998998641968,0.12,0.4100000858306885,0.15,8.9399995803833,0.05,-0.020000100135803223,0.0,-0.25000011920928955,0.06,-1.907,0.099,-1.903,0.171,0.13999998569488525,0.12,0.0,0.14,-0.23000013828277588,0.14,0.09999990463256836,0.01,0.09700000286102295,0,0.2770000100135803,0.0,0.66,0.06,0.4869999885559082,0.0,0.5350000262260437,0.0,0.23999999463558197,0.0,0.5870000123977661,0.0,0.36399999260902405,0.0,0.40400001406669617,0.0,0.5870000123977661,0.0,BD+35  4847,H,339.30618147482,0.0153,36.13927749987,0.014,0.6608,0.0209,31.6526,30.322,28.587,0.02,-10.112,0.017,31,,,1.249,8.467888,0.002777
0,OHP_08/20,MINCE I\II,PAPER I,mince2,4133,0.5,2.13,59.3093481888,69.74585639471,494113589154362368,0,-96.56999969482422,0.0,-0.21000003814697266,0.0,0.6000000238418579,0.02,-96.47000122070312,0.0,0.5699999332427979,0.11,0.2999999523162842,0.08,TYC_4331-136-1,0.43000006675720215,0.14,0.24000000953674316,0.12,0.3600001335144043,0.11,10.399999618530273,0.13,-0.1400001049041748,0.0,-0.2799999713897705,0.12,-2.531,0.108,-2.43,0.229,0.1099998950958252,0.12,0.029999971389770508,0.13,-0.6500000953674316,0.2,0.26999998092651367,0.02,-0.2290000021457672,0,-0.09799999743700027,0.0,0.61,0.05,-0.039000000804662704,0.0,0.25099998712539673,0.0,-0.01600000075995922,0.0,0.2709999978542328,0.0,0.25999999046325684,0.0,0.460999995470047,0.0,0.7609999775886536,0.0,TYC 4331-136-1,H,59.30935521585,0.009,69.74585613476,0.0106,0.4346,0.0156,27.786,17.784,17.672,0.01,-1.999,0.013,31,,,1.14,9.521653,0.002838
TNGs,TNG2020_change,MINCE I\II,PAPER I,mince2,4249,0.79,1.98,328.9001154302,-4.2242699202,2670152649340559616,0,0.7199999690055847,0.019999999552965164,-0.039999961853027344,0.04,0.6000000238418579,0.0,0.18000006675720215,0.01,0.3799999952316284,0.05,0.41999995708465576,0.05,HD208316,0.3399999141693115,0.12,0.4099999666213989,0.06,0.36000001430511475,0.06,8.779999732971191,0.08,-0.029999971389770508,0.0,-0.25,0.06,-1.606,0.101,-1.569,0.101,0.1499999761581421,0.15,-0.039999961853027344,0.13,-0.36000001430511475,0.11,0.0,0.0,-0.2540000081062317,0,0.07900000363588333,0.0,0.61,0.03,0.0860000029206276,0.0,0.17599999904632568,0.0,-0.04899999871850014,0.0,0.1589999943971634,0.0,0.15600000321865082,0.0,0.2540000081062317,0.0,0.4860000014305115,0.0,HD 208316,H,328.90012756915,0.0218,-4.2244402984,0.0219,0.6576,0.024,27.4258,38.516,2.7,0.026,-38.421,0.026,31,,,0.98,8.3622,0.002785
0,OHP_08/20,MINCE I\II,PAPER I,mince2,4497,1.03,2.06,358.86816040467,4.35490550125,2743322781643294336,0,1.03000009059906,0.0,-96.41999816894531,0.0,0.5499999523162842,0.08,-96.41999816894531,0.0,0.34999990463256836,0.0,0.3299999237060547,0.07,BD+03__4904,0.21000003814697266,0.15,0.309999942779541,0.1,0.2999999523162842,0.15,9.949999809265137,0.12,-0.1100001335144043,0.0,-0.3300001621246338,0.03,-2.573,0.122,-2.466,0.174,0.1099998950958252,0.09,0.009999990463256836,0.12,-0.5500001907348633,0.0,0.25,0.05,0.03799999877810478,0,-0.08699999749660492,0.0,0.6,0.0,-0.2770000100135803,0.0,0.026000000536441803,0.0,-0.13199999928474426,0.0,9.989999771118164,0.0,0.0729999989271164,0.0,0.5130000114440918,0.0,9.989999771118164,0.0,BD+03  4904,H,358.86815928133,0.0211,4.35490305536,0.0116,0.4252,0.0214,19.8267,19.196,-8.092,0.024,-17.407,0.013,31,,,1.158,9.508876,0.002764
TNGs,TNG2020_change,MINCE I\II,PAPER I,mince2,4316,0.87,1.96,238.8140969164,8.2244009873,4454379718774068736,0,0.6000000238418579,0.019999999552965164,-0.04999995231628418,0.04,0.5200000405311584,0.0,0.13999998569488525,0.01,0.3400000333786011,0.08,0.3700000047683716,0.05,HD142614,0.3700000047683716,0.1,0.3500000238418579,0.07,0.3799999952316284,0.08,9.15999984741211,0.07,-0.039999961853027344,0.0,-0.25,0.1,-1.454,0.107,-1.474,0.175,0.12000000476837158,0.11,-0.039999961853027344,0.13,-0.4099999666213989,0.11,-0.11000001430511475,0.03,-0.35600000619888306,0,-0.012000000104308128,0.0,0.59,0.02,0.31700000166893005,0.0,0.40700000524520874,0.0,0.13699999451637268,0.0,0.39399999380111694,0.0,0.40400001406669617,0.0,0.6110000014305115,0.0,0.7839999794960022,0.0,HD 142614,G,238.81394622389,0.0122,8.22440352914,0.0098,0.5737,0.0154,37.2767,33.46,-33.455,0.014,0.563,0.011,31,,,1.055,8.741734,0.002763
0,OHP_08/20,MINCE I\II,PAPER I,mince2,4129,0.75,1.94,356.87777569389,53.78787556814,1993508490626586752,0,0.6899999976158142,0.029999999329447746,-0.15999996662139893,0.05,0.5399999618530273,0.0,0.0,0.08,0.4099999666213989,0.09,0.20000004768371582,0.08,TYC_4001-1161-1,-0.019999980926513672,0.14,0.12000000476837158,0.07,0.1499999761581421,0.1,10.75,0.07,-0.2200000286102295,0.0,-0.3999999761581421,0.11,-1.619,0.106,-1.283,0.286,-0.009999990463256836,0.11,-0.059999942779541016,0.13,-0.5100001096725464,0.14,0.12999999523162842,0.1,-0.5410000085830688,0,-0.08500000089406967,0.0,0.57,0.06,0.39899998903274536,0.0,0.289000004529953,0.0,0.10599999874830246,0.0,0.32199999690055847,0.0,0.3610000014305115,0.0,0.5339999794960022,0.0,0.8489999771118164,0.0,TYC 4001-1161-1,G,356.87777316791,0.0092,53.78787453108,0.0097,0.39,0.0139,28.1049,12.751,-10.473,0.013,-7.273,0.013,31,,,1.058,10.096018,0.003737
0,OHP_08/20,MINCE I\II,PAPER I,mince2,4232,0.8,2.0,290.73491582796,76.54536867744,2289509454745473792,0,0.5299999713897705,0.0,-0.07999992370605469,0.06,0.5199999809265137,0.0,0.3999999761581421,0.0,0.46999990940093994,0.08,0.36000001430511475,0.07,TYC_4584-784-1,0.19000005722045898,0.12,0.2999999523162842,0.14,0.2900000810623169,0.17,10.9399995803833,0.14,-0.06999993324279785,0.0,-0.2999999523162842,0.09,-2.033,0.113,-1.854,0.246,0.09999990463256836,0.12,-0.019999980926513672,0.12,-0.5399999618530273,0.14,-0.029999971389770508,0.16,-0.3269999921321869,0,-0.08799999952316284,0.0,0.54,0.06,0.1459999978542328,0.0,0.335999995470047,0.0,0.11599999666213989,0.0,0.38999998569488525,0.0,0.3330000042915344,0.0,0.43299999833106995,0.0,0.6629999876022339,0.0,TYC 4584-784-1,H,290.73491261361,0.0096,76.54536904406,0.0111,0.2471,0.0103,24.0866,6.264,-5.508,0.013,2.982,0.016,31,,,1.106,10.622401,0.002779
0,OHP_08/20,MINCE I\II,PAPER I,mince2,4289,0.75,2.07,28.59239965679,3.69588742393,2512685511748376064,0,1.1400001049041748,0.0,-0.06999993324279785,0.23,0.5299999713897705,0.05,-96.77999877929688,0.0,0.46000003814697266,0.12,0.3700000047683716,0.06,TYC___33-446-1,0.3500000238418579,0.15,0.3500000238418579,0.07,0.4200000762939453,0.1,10.470000267028809,0.1,-0.09999990463256836,0.0,-0.2999999523162842,0.07,-2.215,0.117,-2.204,0.204,0.15000009536743164,0.1,-0.009999990463256836,0.14,-0.4200000762939453,0.17,-0.07999992370605469,0.0,-0.17000000178813934,0,-0.16699999570846558,0.0,0.52,0.05,0.07800000160932541,0.0,0.23499999940395355,0.0,0.08500000089406967,0.0,0.3050000071525574,0.0,0.3009999990463257,0.0,0.3050000071525574,0.0,1.6449999809265137,0.0,TYC   33-446-1,H,28.59240072541,0.0138,3.69588645501,0.0104,0.2535,0.0158,16.0677,10.306,7.591,0.016,-6.972,0.013,31,,,0.988,10.093693,0.00283
0,OHP_08/20,MINCE I\II,PAPER I,mince2,4036,0.64,1.95,29.66228630162,41.77505950465,345884921919346944,0,0.6000000834465027,0.03999999910593033,-0.2200000286102295,0.05,0.5099999904632568,0.0,0.13999998569488525,0.0,0.3799999952316284,0.14,0.3200000524520874,0.08,TYC_2824-1963-1,0.25,0.12,0.3200000524520874,0.08,0.24000000953674316,0.12,10.6899995803833,0.1,-0.039999961853027344,0.0,-0.309999942779541,0.11,-1.6,0.137,-1.445,0.383,0.060000061988830566,0.13,-0.07999992370605469,0.13,-0.4899998903274536,0.12,-0.06999993324279785,0.03,-0.5600000023841858,0,-0.0430000014603138,0.0,0.52,0.06,0.3799999952316284,0.0,0.3799999952316284,0.0,0.05299999937415123,0.0,0.4399999976158142,0.0,0.4000000059604645,0.0,0.5540000200271606,0.0,0.8050000071525574,0.0,TYC 2824-1963-1,G,29.66228892905,0.0149,41.77505827837,0.0141,0.2866,0.0166,17.2549,16.743,14.248,0.018,-8.793,0.021,31,,,1.241,10.063057,0.002847
0,OHP_08/20,MINCE I\II,PAPER I,mince2,4234,0.89,1.94,2.1501522125,2.96710838599,2740533904759400320,0,0.7799999713897705,0.0,-0.12999999523162842,0.08,0.5300000905990601,0.0,0.13999998569488525,0.0,0.38999998569488525,0.11,0.30000007152557373,0.06,TYC____4-369-1,0.2999999523162842,0.14,0.24000000953674316,0.08,0.309999942779541,0.11,11.039999961853027,0.07,-0.12999999523162842,0.0,-0.2900000810623169,0.08,-1.836,0.107,-1.663,0.245,0.03000009059906006,0.11,-0.059999942779541016,0.13,-0.5700000524520874,0.04,0.03000009059906006,0.15,-0.42399999499320984,0,-0.008999999612569809,0.0,0.52,0.05,0.24899999797344208,0.0,0.35600000619888306,0.0,0.1889999955892563,0.0,0.33899998664855957,0.0,0.38600000739097595,0.0,0.45100000500679016,0.0,0.5910000205039978,0.0,TYC    4-369-1,G,2.15015429357,0.0146,2.96710768609,0.0126,0.2167,0.0164,13.2143,15.708,14.957,0.018,-4.798,0.014,31,,,0.978,10.786457,0.002843
Spito_NOT,NOT_61_Spito,MINCE I\II,PAPER I,mince2,4254,1.07,1.83,240.2702974304,11.2156225871,4457463848888998528,0,0.4999999403953552,0.0,-0.1700000762939453,0.05,0.4099999666213989,0.08,0.08999991416931152,0.02,0.2999999523162842,0.1,0.31999993324279785,0.06,BD+112896,0.22999989986419678,0.08,0.25999999046325684,0.07,0.28999996185302734,0.1,9.140000343322754,0.09,-0.009999990463256836,0.0,-0.24000000953674316,0.08,-1.413,0.12,-1.299,0.199,0.04999995231628418,0.15,-0.060000061988830566,0.13,-0.4700000286102295,0.11,-0.05000007152557373,0.04,-0.296999990940094,0,-0.09099999815225601,0.0,0.51,0.04,0.17599999904632568,0.0,0.3409999907016754,0.0,0.057999998331069946,0.0,0.5529999732971191,0.0,0.3799999952316284,0.0,0.5669999718666077,0.0,0.7929999828338623,0.0,BD+11  2896,H,240.27019063254,0.013,11.21554069091,0.0089,0.7832,0.0181,43.1989,29.8,-23.424,0.016,-18.422,0.012,31,,,0.972,8.72601,0.002765
